questions,answers
Quels sont les symptômes du diabète?,"Les symptômes les plus fréquents sont entre autres la soif intense, la bouche sèche, la fatigue, et les urines fréquentes et abondantes."
Comment savoir si j'ai le diabète?,"Si vous ressentez des symptômes de diabète, vous devrez faire une prise de sang, prescrite par un médecin ou une infirmière praticienne spécialisée (IPS). Il s’agit de la seule façon de confirmer un diagnostic de diabète."
Quelle est la différence entre un diabète de type 1 et un diabète de type 2?,"Le diabète de type 1 est une maladie auto-immune. Les injections d’insuline sont le seul traitement du diabète de type 1.  Les habitudes de vie, la génétique et d’autres facteurs sont généralement ce qui mènent au développement d’un diabète de type 2. Il peut se traiter par un changements des habitudes de vie et par des médicaments."
Est-ce qu'un prédiabète mène toujours à un diabète de type 2?,"Souvent, mais pas toujours. En modifiant ses habitudes de vie, il est possible de freiner ou de ralentir l’évolution du prédiabète vers un diabète de type 2. "
Quels sont les aliments interdits quand on a le diabète?,"Aucun aliment n’est interdit. Cependant, certains aliments devraient être consommés de façon occasionnelle et en petite quantité, par exemple, les gâteaux, les biscuits, les bonbons, etc. L’important lorsqu’on fait le choix de manger un dessert sucré, c’est de s’assurer qu’il fasse partie d’un repas équilibré."
Quoi faire quand on a une hypoglycémie?,Une hypoglycémie légère devrait être traitée avec 15 grammes de sucre à absorption rapide.
Quoi faire quand on a une hyperglycémie?,"Pour les personnes vivant avec le diabète de type 1, il est possible de s’administrer une dose d’insuline de correction, aussi appelé bolus de correction, selon les directives de son équipe traitante. Pour une personne vivant avec le diabète de type 2, plusieurs stratégies peuvent être mises en place. "
Peut-on guérir du diabète de type 2?,"Non. Une rémission du diabète de type 2 est possible, mais cela nécessite des changements importants d’habitudes de vie, supervisés par une équipe de professionnel(le)s de la santé. Des critères existent également pour déterminer les personnes chez qui une rémission du diabète est possible."
Les substituts de sucre sont-ils de bons choix pour remplacer le sucre blanc?,La consommation de substituts de sucre devrait être occasionnelle et modérée. 
Quels desserts puis-je manger?,"Aucun dessert n’est interdit. Cependant, certains desserts devraient être consommés de façon occasionnelle et en petite quantité. Il est aussi préférable de choisir des fruits, par exemple, qu’un dessert transformé. Si vous cuisinez vos desserts, vous pouvez réduire la quantité de sucre de la recette."
Comment obtenir le crédit d'impôt?,"Les crédits d’impôt fédéral et provincial sont automatiquement accordés aux personnes vivant avec le diabète de type 1 depuis 2021, puisqu’on considère que la gestion du diabète requiert au moins 14 heures de soins par semaine. Il faut toutefois compléter des formulaires et les faire signer par son médecin pour l’obtenir."
Quels traitements du diabète sont couverts au Québec par la RAMQ?,"La majorité des médicaments pour le traitement du diabète peuvent être remboursés, soit d’emblée (Metformine), ou à l’aide d’un formulaire d’exception que votre médecin ou IPS envoie à la RAMQ. La majorité des insulines sont remboursées par la RAMQ. Cependant, la pompe à insuline et ses fournitures ne le sont pas pour les adultes. "
Où donner du matériel?,Diabète Québec ne récupère pas le matériel pour la gestion du diabète qui n’est plus utilisé.
Comment avoir un suivi médical pour mon diabète?,"Si vous n’avez pas de médecin de famille, inscrivez-vous sur le Guichet d’accès à un médecin de famille. Par la suite, vous pourrez contacter le 811, option 3, pour parler à un intervenant du Guichet d’accès à la première ligne et obtenir une consultation avec un professionnel qui pourra répondre à vos besoins. Vous pouvez également contacter des cliniques médicales pour obtenir une consultation, ou du moins, obtenir une référence médicale pour accéder aux services en diabète de votre région. "
Où trouver une infirmière en soins de pieds?,"Pour trouver une infirmière en soins de pieds, consultez le site de l’Association des Infirmières et Infirmiers en soins podologiques du Québec."
Qu'est-ce que la diète cétogène?,"La diète cétogène, aussi appelée diète kéto, consiste à manger peu ou pas de glucides."
Qu'est-ce que le jeûne intermittent?,"Le jeûne intermittent consiste à manger durant une période de temps précise dans la journée.  Si vous décidez d’entreprendre un jeûne intermittent, parlez-en à votre équipe traitante. Des ajustements dans vos doses médicaments pourraient être nécessaires."
Puis-je prendre mon insuline et mes médicaments avant une prise de sang?,"Lorsque vous vous rendez à l’hôpital pour des prises de sang à jeun, vous ne devez pas prendre votre insuline à action rapide ou à courte durée d’action, ni votre médication antihyperglycémiante. La première raison pour laquelle vous ne devez pas le faire, est que l’insuline injectée alors que vous êtes à jeun abaisserait votre glycémie et vous pourriez vous retrouver en hypoglycémie. La deuxième raison, est que l’interprétation des résultats de la prise de sang, et donc de votre contrôle glycémique, serait faussée et difficile à faire puisque l’insuline aurait déjà commencé à agir au moment du prélèvement. Il est suggéré de prendre votre rendez-vous le plus tôt possible le matin et, une fois votre prise de sang terminée, de vérifier votre glycémie puis de prendre votre injection ou votre médication antihyperglycémiante et votre déjeuner. Lorsque vous injectez votre insuline, vous devez manger dans les minutes qui suivent l’injection. Si cette consigne n’est pas respectée, vous courez le risque de vous retrouver en hypoglycémie. Recherche et rédaction: Équipe de professionnelles de la santé de Diabète Québec Adapté de : Tremblay L., Infirmière, (Printemps 2001) Prise de sang : Quand prendre son insuline.  Plein Soleil, Diabète Québec. © Diabète Québec – Janvier 2019"
Puis-je donner du sang?,"Le 4 décembre 2023, les critères d’éligibilité au don de sang ont été assouplis pour personnes vivant avec le diabète.  Toutes les personnes vivant avec le diabète de type 2 géré par les habitudes de vie ou les médicaments par la bouche ou intramusculaire sont éligibles au don de sang. Si vous vivez avec le diabète de type 1 ou 2 et que vous prenez de l’insuline, les critères suivants doivent être respectés : Si vous désirez plus de détails sur les critères de qualification des donneurs, nous vous suggérons de consulter l’article sur les assouplissement des critères sur le site Internet d’Héma-Québec ou de communiquer avec eux. Recherche et rédaction : Équipe de professionnels de la santé de Diabète Québec © Diabète Québec – Janvier 2024. Références: Héma-Québec. (2023). Assouplissement des critères d’admissibilité. https://www.hema-quebec.qc.ca/assouplissements-creutzfeldt-jakob-diabete.fr.html Lettre de Nathalie Fagnan, CPA, IAS.A, Présidente et chef de la direction Héma-Québec, le 8 novembre 2023"
Puis-je me faire tatouer?,"Oui. Cependant, il est préférable que le diabète soit bien géré, c’est-à-dire que l’hémoglobine glyquée (A1C) et les valeurs d’autosurveillance de la glycémie capillaire soient dans les valeurs cibles. Certaines zones du corps sont également à éviter."
Qu’est-ce que le diabète ?,"Le diabète est une maladie chronique qui ne se guérit pas, mais qui se contrôle. Il est caractérisé par une glycémie, c’est-à-dire un taux de sucre dans le sang, au-dessus des valeurs normales. Habituellement, la glycémie est maintenue dans les valeurs normales grâce, entre autres, à l’insuline. L’insuline est une hormone produite par le pancréas. Elle agit comme une clé en permettant au sucre présent dans le sang d’entrer dans les cellules du corps pour qu’il soit utilisé comme source d’énergie.  En présence de diabète, l’un et/ou l’autre des phénomènes suivants se produisent :  Une résistance du corps à l’action de l’insuline; Une diminution ou une absence de production d’insuline.  Par conséquent, le sucre ne peut pas entrer dans les cellules et il s’accumule dans le sang, ce qui entraîne une hyperglycémie, c’est-à-dire une augmentation de la glycémie au-dessus des valeurs normales. À long terme, l’hyperglycémie peut mener au développement de certaines complications, notamment aux yeux, aux reins, aux nerfs, au cœur et aux vaisseaux sanguins. Il existe différents types de diabète, soit le prédiabète, le diabète de type 1, le diabète de type 2, le diabète de grossesse et d’autres types de diabète plus rares."
Facteurs de risque,"Les causes du diabète de type 2 sont nombreuses et, dans bien des cas, c’est la combinaison de plusieurs facteurs qui entraîne l’apparition de la maladie. Par exemple:  Le sexe : les hommes sont plus vulnérables que les femmes; L’âge : 40 ans et plus; L’hérédité : avoir un parent du premier degré (parent, frère, sœur, enfant) qui vit avec le diabète de type 2; L’origine ethnique : autochtone, africaine, asiatique, hispanique, arabe ou sud-asiatique; Le surplus de poids; Le tour de taille élevé, soit la graisse accumulée autour de l’abdomen; La sédentarité; Les mauvaises habitudes alimentaires: comme manger peu ou pas de fruits et légumes; Le tabagisme; L’hypertension artérielle; La présence de maladies associées: pancréatite, infection par le VIH, troubles psychiatriques (schizophrénie, dépression, trouble bipolaire), syndrome des ovaires polykystiques, la goutte (hyperuricémie); La prise de médicaments associés au diabète: glucocorticoïdes (cortisone), médicaments anti-rejet, antipsychotiques atypiques, statines; Des résultats de glycémie anormalement élevés dans le passé; Pour les femmes, avoir donné naissance à un bébé de plus de 4,1 kg (9 livres); Des antécédents de diabète gestationnel; Un faible niveau de scolarité.  Certains facteurs de risque ne peuvent être changés.  Il est toutefois possible de réduire son risque de développer une diabète de type 2 en agissant sur certains facteurs de risque, comme les habitudes alimentaires, l’activité physique et le tabagisme.   Suis-je à risque ? (faites le test)     Étape 1 de 12   8%   Êtes-vous un homme ou une femme?Êtes-vous un homme ou une femme?(Nécessaire)   Homme    Femme    Suivant     Quel âge avez-vous ?Quel âge avez-vous?(Nécessaire)   Précédent Suivant     Quels sont votre poids et votre taille ?Entrez votre poids(Nécessaire)Unités(Nécessaire)LivresKgEntrez votre taille(Nécessaire)   Pieds    Pouces  Entrez votre taille(Nécessaire)Unités(Nécessaire)Pieds et poucesCentimètres   Précédent Suivant     Quel est votre tour de taille ?À l’aide d’un ruban à mesurer, mesurez votre tour de taille à la hauteur du nombril. Expirez, (ne retenez pas votre souffle) puis prenez la mesure. (Remarque : cela n’a rien à voir avec la taille de vos pantalons.)Tour de tailles(Nécessaire)Unités(Nécessaire)CentimètresPouces   Précédent Suivant     Faites-vous habituellement de l'activité physique, comme de la marche rapide, au moins 30 minutes par jour ?Activités(Nécessaire)   Oui    Non    Précédent Suivant     À quelle fréquence mangez-vous des légumes ou des fruits ?Fruits et légumes(Nécessaire)   Tous les jours    Pas tous les jours    Précédent Suivant     Un médecin ou un membre du personnel infirmier vous a-t-il déjà dit que vous faisiez de l'hypertension artérielle OU avez-vous déjà pris des médicaments contre l’hypertension artérielle ?Hypertension(Nécessaire)   Oui    Non ou ne sais pas    Précédent Suivant     Avez-vous déjà eu un résultat de glycémie élevée lors d’une analyse sanguine, d’une maladie ou d’une grossesse ?Glycémie(Nécessaire)   Oui    Non    Précédent Suivant     Avez-vous déjà donné naissance à un bébé de 9 livres (4,1 kg) ou plus ?Bébé(Nécessaire)   Oui    Non / Ne sais pas    Précédent Suivant     Est-ce qu’un membre de votre famille a déjà eu un diagnostic de diabète ?Génétique(Nécessaire)   Oui    Non Si oui, veuillez choisir :(Nécessaire)  Mère   Père   Enfants   Frère(s) et/ou sœur(s)   Autres    Précédent Suivant     Quel est le groupe ethnique de vos parents biologiques ?Mère(Nécessaire)Blanc (type caucasien)AutochtoneNoir (Afro-Antillais)Asiatique de l'Est (Chinois, Vietnamien, Coréen, etc.)Asiatique du Sud (Indien-Oriental, Pakistanais, etc.)Autres(Latino-Américain, Arabe, Asie occidentale. etc)Père(Nécessaire)Blanc (type caucasien)AutochtoneNoir (Afro-Antillais)Asiatique de l'Est (Chinois, Vietnamien, Coréen, etc.)Asiatique du Sud (Indien-Oriental, Pakistanais, etc.)Autres(Latino-Américain, Arabe, Asie occidentale. etc)   Précédent Suivant     Quel est le plus haut niveau de scolarité que vous ayez atteint ?Scolarité(Nécessaire)   Études secondaires ou moins    Diplôme d’études secondaires    Études collégiales ou universitaires    Diplôme d’études collégiales ou universitaires  Précédent Envoyer             Δ   Des ressources pour vous aider Documents  Comprendre et prévenir le diabète de type 2 (dépliant disponible dans la boutique) Le tabagisme et le diabète (dépliant disponible dans la boutique) En forme chez soi 1 (dépliant disponible dans la boutique)   Recherche et rédaction: Équipe de professionnelles de la santé de Diabète Québec Juillet 2023"
Symptômes,"Les symptômes suivants sont associés au diabète. Ils sont le reflet d’une hyperglycémie, c’est-à-dire un taux de sucre dans le sang au-dessus des valeurs normales. Les symptômes peuvent être présents ou non au moment du diagnostic de la maladie et peuvent également survenir lorsque le diabète n’est pas bien géré et qu’il y a une hyperglycémie. Dans bien des cas, les symptômes du diabète de type 2 sont tellement mineurs qu’ils peuvent passer inaperçus pendant plusieurs années. Pendant ce temps, la maladie poursuit son évolution. Il est donc important de passer des prises de sang régulièrement à partir de l’âge de 40 ans.           Symptômes de l’hyperglycémie:  Fatigue Somnolence Augmentation du volume et de la fréquence des urines Soif intense Bouche sèche Irritabilité Difficulté de concentration  Si l’hyperglycémie se maintient dans le temps, les symptômes suivants peuvent s’installer:  Vision embrouillée Faim exagérée Perte de poids inexpliquée Plaies qui guérissent mal Infection des organes génitaux et de la vessie    Le diabète ne se manifeste pas toujours de la même façon, avec la même intensité et en présence de tous ces symptômes. Il arrive même que les symptômes passent inaperçus durant plusieurs années. Consultez un médecin si un ou plusieurs symptômes sont présents. Une prise de sang permettra de confirmer si ces symptômes sont le résultat d’une hyperglycémie. Si les symptômes sont importants, rendez-vous à l’hôpital.     Diabète de type 1 Les symptômes du diabète de type 1 peuvent apparaître progressivement ou subitement, selon le cas. Aux symptômes listés ci-dessus peuvent s’ajouter :  Crampes abdominales Haleine fruitée, en raison de la présence de corps cétoniques dans le sang ou dans l’urine  Prédiabète Il y a rarement des symptômes en présence de prédiabète."
Dépistage et diagnostic,"Le diagnostic du diabète de type 2 En prenant sa glycémie de façon aléatoire (par exemple, en pharmacie), cela peut donner un indice sur la présence ou non d’un diabète de type 2. Cependant, seule une prise de sang analysée en laboratoire permet de poser un diagnostic de diabète.  Le tableau ci-dessous indique les valeurs diagnostiques pour le prédiabète et le diabète qui proviennent des Lignes directrices de pratique clinique 2018 pour la prévention et le traitement du diabète au Canada de Diabète Canada: PrédiabèteDiabète de type 2Glycémie à jeun (glycémie AC)Entre 6,1 et 6,9 mmol/L (anomalie de la glycémie à jeun)7,0 mmol/L et plusHémoglobine glyquée (HbA1c ou A1c)Entre 6,0 et 6,4 %6,5 % et plusGlycémie 2 heures après avoir bu un liquide contenant 75 g de glucose (hyperglycémie provoquée par voie orale ou HGPO)Entre 7,8 et 11,0 mmol/L (intolérance au glucose)11,1 mmol/L et plusGlycémie mesurée à tout moment de la journée–11,1 mmol/L et plus, avec les symptômes classiques Parfois, une deuxième prise de sang est nécessaire afin de confirmer les résultats obtenus.  Le dépistage du diabète de type 2 (mesure de la glycémie à jeun ou de l’hémoglobine glyquée) est recommandé tous les trois ans chez les personnes de 40 ans et plus ou et même plus tôt ou plus fréquemment chez les personnes qui présentent plusieurs facteurs de risque. Qu’est-ce que l’hémoglobine glyquée? L’hémoglobine glyquée (HbA1C ou A1C) représente la moyenne des glycémies des 2-3 derniers mois. Cette mesure est également utilisée pour déterminer le risque de complications. Au moment de passer la prise de sang pour une hémoglobine glyquée seule, il n’est pas nécessaire d’être à jeun. Pour en savoir plus sur l’hémoglobine glyquée, visionnez notre vidéo sur le sujet!"
Diabète de type 1,"Ce type de diabète apparaît généralement chez les personnes de moins de 20 ans. Il touche environ 10 % des personnes vivant avec le diabète. Le diabète de type 1 était autrefois appelé diabète insulinodépendant ou diabète juvénile. Il se caractérise par l’absence totale de production d’insuline. La personne vivant avec le diabète de type 1 dépend donc d’injections quotidiennes d’insuline ou d’une pompe à insuline pour assurer sa survie.         Les causes Les causes exactes de l’apparition du diabète de type 1 demeurent inconnues. Dans la majorité des cas, les cellules qui produisent l’insuline (cellules bêta), situées dans le pancréas, sont détruites par le système immunitaire. Le processus de destruction évolue habituellement sur plusieurs années. Il débute bien avant l’apparition des premiers symptômes de la maladie. On ne sait pas ce qui déclenche cette attaque ni pourquoi elle débute. Les chercheurs pensent qu’une prédisposition génétique et certains facteurs liés à l’environnement contribuent au développement du diabète de type 1.   Qu’est-ce que le diabète de type 1?   Les symptômes Lorsque le diabète de type 1 se développe, certains symptômes apparaissent tels que:  Une soif intense De la fatigue Des urines fréquentes Une perte de poids Une vision embrouillée.  Sans traitement, ces symptômes peuvent évoluer et mener à une acidocétose diabétique. Le diagnostic du diabète de type 1 Seule une prise de sang analysée en laboratoire permet de diagnostiquer le diabète de type 1. On mesure la glycémie, c’est-à-dire le taux de sucre dans le sang. Le tableau ci-dessous indique les valeurs diagnostiques pour le prédiabète et le diabète qui proviennent des Lignes directrices de pratique clinique 2018 pour la prévention et le traitement du diabète au Canada de Diabète Canada: Glycémie à jeun7 mol/L et plusGlycémie à tout moment de la journée11,1 mmol/L et plusAvec les symptômes du diabète Dans certains cas, un dosage des anticorps anti GAD65 est fait pour confirmer le type de diabète. Leur présence signale la forte probabilité d’un diabète de type 1. Cette mesure est complétée au besoin par le dosage du peptide-C qui reflète la quantité d’insuline que le pancréas est capable de produire. De plus, des symptômes sont pratiquement toujours présents au moment du diagnostic. Le phénomène de la « lune de miel » Peu de temps après le diagnostic de diabète de type 1, certaines personnes vivront ce qu’on appelle le phénomène de la « lune de miel ». Cette période transitoire est marquée par une diminution importante des besoins en insuline.  Elle dure en moyenne de six à neuf mois, mais peut durer jusqu’à deux ans. Ce phénomène s’explique par la sécrétion d’une certaine quantité d’insuline par quelques cellules du pancréas encore saines. Éventuellement, le processus auto-immun propre au diabète de type 1 conduira à la destruction complète de ces cellules. En l’absence totale de sécrétion d’insuline, les glycémies seront plus élevées et les doses d’injection d’insuline devront être augmentées.  Des ressources pour vous aider Documents  Protocole d’intervention en milieu scolaires pour les élèves atteints de diabète de type 1  Ressources externes  Projet BETTER FRED: Fondation Ressource pour les Enfants Diabétiques   Recherche et rédaction : Équipe des professionnelles de la santé de Diabète Québec Juillet 2022 © Diabète Québec Références : Punthakee Z, Goldenberg R and Katz P. Diabetes Canada 2018 Clinical Practice Guidelines for the Prevention and Management of Diabetes in Canada: Definition, Classification and Diagnosis of Diabetes, Prediabetes and Metabolic Syndrome. Can J Diabetes 2018; 42 (Suppl 1): S10-S15."
Diabète de type 2,"Le diabète de type 2 est la forme la plus fréquente de diabète, avec 90 % des cas. Il se manifeste généralement à l’âge adulte, chez les individus de 40 ans et plus. Malheureusement, on constate qu’il apparaît également chez des personnes de plus en plus jeunes, en raison entre autres de l’augmentation du taux d’obésité. Dans les populations à risque, il peut même apparaître dès l’enfance.   Dans le diabète de type 2, deux phénomènes sont généralement présents :  une résistance du corps à l’action de l’insuline; une diminution de la production d’insuline.  S’en suit une hyperglycémie, c’est-à-dire une augmentation du taux de sucre dans le sang au-dessus des valeurs normales. À long terme, l’hyperglycémie peut mener au développement de certaines complications, notamment aux yeux, aux reins, aux nerfs, au cœur et aux vaisseaux sanguins. Des symptômes peuvent être présents ou non au moment du diagnostic.     Vidéo: Qu’est-ce que le diabète de type 2?        Les facteurs de risques Les causes du diabète de type 2 sont nombreuses et, dans bien des cas, c’est la combinaison de plusieurs facteurs qui entraîne l’apparition de la maladie. Par exemple:  Le sexe : les hommes sont plus vulnérables que les femmes; L’âge : le risque augmente à mesure que l’on vieillit; Le surplus de poids; Le tour de taille élevé, soit la graisse accumulée autour de l’abdomen; La sédentarité ; Les mauvaises habitudes alimentaires; L’hypertension artérielle; Des résultats de glycémie anormalement élevés dans le passé; Pour les femmes, avoir donné naissance à un bébé de plus de 4,1 kg (9 livres); L’hérédité; L’origine ethnique : autochtone, africaine, asiatique, latino-américaine, etc. Un faible niveau de scolarité.    Le diagnostic du diabète de type 2 Seule une prise de sang analysée en laboratoire permet de poser un diagnostic de diabète.  Le tableau ci-dessous indique les valeurs diagnostiques pour le prédiabète et le diabète qui proviennent des Lignes directrices de pratique clinique 2018 pour la prévention et le traitement du diabète au Canada de Diabète Canada: PrédiabèteDiabète de type 2Glycémie à jeun (glycémie AC)Entre 6,1 et 6,9 mmol/L (anomalie de la glycémie à jeun)7,0 mmol/L et plusHémoglobine glyquée (HbA1c ou A1c)Entre 6,0 et 6,4 %6,5 % et plusGlycémie 2 heures après avoir bu un liquide contenant 75 g de glucose (hyperglycémie provoquée par voie orale ou HGPO)Entre 7,8 et 11,0 mmol/L (intolérance au glucose)11,1 mmol/L et plusGlycémie mesurée à tout moment de la journée–11,1 mmol/L et plus, avec les symptômes classiques Parfois, une deuxième prise de sang est nécessaire afin de confirmer les résultats obtenus. La prévention Bonne nouvelle! Il est démontré que la modification des habitudes de vie peut diminuer de près de 60% le risque de développer le diabète de type 2, ou du moins en retarder l’apparition, ainsi que les complications associées. Pour connaître votre niveau de risque de développer le diabète de type 2.  À voir aussi       Lire plus     Qu'est-ce que le diabète ?           Lire plus     Diabète de type 2: Enfants et adolescents         Des ressources pour vous aider Documents Diabète Québec  Comprendre et prévenir le diabète de type 2  Ressources externes  ADA   Recherche et rédaction: Équipe de professionnelles de la santé de Diabète Québec © Diabète Québec – Juillet 2022 Références Ékoé J, Goldenberg R, Katz P. Diabetes Canada 2018 Clinical Practice Guidelines for the Prevention and Management of Diabetes in Canada: Screening for Diabetes in Adults. Can J Diabetes 2018;42(Suppl 1):S16-S19. Punthakee Z, Goldenberg R and Katz P. Diabetes Canada 2018 Clinical Practice Guidelines for the Prevention and Management of Diabetes in Canada: Definition, Classification and Diagnosis of Diabetes, Prediabetes and Metabolic Syndrome. Can J Diabetes 2018; 42 (Suppl 1): S10-S15. Diabetes Prevention Program Research Group, Knowler WC, Fowler SE, et al. 10-year follow-up of diabetes incidence and weight loss in the Diabetes Prevention Program Outcomes Study. Lancet. 2009;374:1677-1686."
